episode,reward,steps,epsilon
459,720.0,585,0.10018300685223579
460,710.0,803,0.0996820918179746
461,1320.0,893,0.09918368135888474
462,1850.0,633,0.09868776295209031
463,580.0,643,0.09819432413732986
464,540.0,649,0.09770335251664321
465,710.0,743,0.09721483575406
466,270.0,479,0.09672876157528969
467,930.0,1003,0.09624511776741324
468,440.0,797,0.09576389217857617
469,570.0,739,0.09528507271768329
470,990.0,1341,0.09480864735409487
471,400.0,555,0.0943346041173244
472,590.0,765,0.09386293109673778
473,320.0,433,0.09339361644125409
474,260.0,469,0.09292664835904782
475,350.0,495,0.09246201511725258
476,210.0,435,0.09199970504166631
477,310.0,469,0.09153970651645797
478,350.0,497,0.09108200798387568
479,560.0,569,0.0906265979439563
480,1040.0,893,0.09017346495423652
481,530.0,613,0.08972259762946533
482,370.0,471,0.089273984641318
483,140.0,447,0.0888276147181114
484,860.0,769,0.08838347664452084
485,530.0,639,0.08794155926129824
486,310.0,561,0.08750185146499175
487,590.0,669,0.08706434220766679
488,570.0,561,0.08662902049662846
489,430.0,719,0.08619587539414532
490,310.0,557,0.08576489601717459
491,570.0,763,0.08533607153708872
492,320.0,551,0.08490939117940327
493,790.0,707,0.08448484422350626
494,690.0,885,0.08406242000238873
495,300.0,461,0.08364210790237678
496,1490.0,869,0.0832238973628649
497,830.0,725,0.08280777787605056
498,530.0,597,0.08239373898667031
499,1160.0,717,0.08198177029173696
500,410.0,545,0.08157186144027828
501,330.0,605,0.0811640021330769
502,130.0,383,0.08075818212241151
503,370.0,697,0.08035439121179945
504,460.0,593,0.07995261925574046
505,410.0,541,0.07955285615946175
506,270.0,467,0.07915509187866444
507,210.0,523,0.07875931641927113
508,1190.0,677,0.07836551983717477
509,440.0,761,0.07797369223798889
510,790.0,705,0.07758382377679894
511,400.0,507,0.07719590465791494
512,630.0,615,0.07680992513462537
513,450.0,553,0.07642587550895225
514,390.0,471,0.07604374613140748
515,440.0,797,0.07566352740075044
516,830.0,685,0.07528520976374668
517,300.0,515,0.07490878371492794
518,600.0,849,0.0745342397963533
519,570.0,665,0.07416156859737154
520,410.0,427,0.07379076075438468
521,1210.0,813,0.07342180695061275
522,740.0,811,0.07305469791585968
523,520.0,481,0.07268942442628039
524,380.0,659,0.07232597730414898
525,670.0,693,0.07196434741762824
526,570.0,741,0.0716045256805401
527,440.0,597,0.0712465030521374
528,330.0,549,0.0708902705368767
529,270.0,379,0.07053581918419231
530,490.0,779,0.07018314008827135
531,340.0,407,0.06983222438783
532,420.0,689,0.06948306326589085
533,370.0,521,0.0691356479495614
534,380.0,581,0.06878996970981359
535,450.0,513,0.06844601986126451
536,650.0,671,0.06810378976195819
537,700.0,713,0.0677632708131484
538,590.0,629,0.06742445445908266
539,540.0,645,0.06708733218678724
540,310.0,473,0.0667518955258533
541,1860.0,869,0.06641813604822402
542,340.0,515,0.0660860453679829
543,750.0,877,0.06575561514114299
544,1000.0,581,0.06542683706543727
545,680.0,629,0.06509970288011008
546,360.0,495,0.06477420436570952
547,890.0,701,0.06445033334388098
548,670.0,669,0.06412808167716157
549,1480.0,921,0.06380744126877576
550,290.0,611,0.06348840406243188
551,450.0,657,0.06317096204211972
552,630.0,685,0.06285510723190912
553,440.0,721,0.06254083169574957
554,520.0,609,0.062228127537270826
555,400.0,501,0.06191698689958447
556,310.0,443,0.061607401965086545
557,470.0,555,0.06129936495526111
558,640.0,693,0.0609928681304848
559,160.0,481,0.060687903789832374
560,790.0,765,0.06038446427088321
561,610.0,701,0.06008254194952879
562,710.0,801,0.05978212923978115
563,340.0,447,0.05948321859358224
564,490.0,721,0.05918580250061433
565,260.0,561,0.058889873488111255
566,290.0,481,0.058595424120670696
567,330.0,523,0.05830244700006734
568,370.0,465,0.058010934765067
569,1340.0,703,0.05772088009124167
570,450.0,655,0.05743227569078546
571,940.0,641,0.05714511431233153
572,510.0,723,0.05685938874076987
573,480.0,677,0.056575091797066025
574,310.0,575,0.056292216338080694
575,540.0,623,0.05601075525639029
576,310.0,531,0.05573070148010834
577,440.0,559,0.0554520479727078
578,440.0,393,0.05517478773284426
579,1190.0,651,0.05489891379418004
580,420.0,391,0.05462441922520914
581,390.0,429,0.0543512971290831
582,380.0,407,0.05407954064343768
583,730.0,625,0.05380914294022049
584,540.0,773,0.05354009722551939
585,630.0,693,0.05327239673939179
586,400.0,411,0.053006034755694834
587,420.0,809,0.052741004581916356
588,370.0,429,0.052477299559006776
589,620.0,703,0.052214913061211746
590,380.0,705,0.05195383849590569
591,670.0,651,0.05169406930342616
592,330.0,689,0.05143559895690903
593,560.0,849,0.051178420962124486
594,340.0,429,0.05092252885731386
595,310.0,379,0.05066791621302729
596,460.0,605,0.05041457663196215
597,700.0,831,0.050162503748802344
598,420.0,453,0.049911691230058335
599,430.0,665,0.04966213277390804
600,520.0,465,0.0494138221100385
601,690.0,613,0.04916675299948831
602,350.0,463,0.04892091923449087
603,360.0,617,0.04867631463831842
604,520.0,661,0.048432933065126825
605,590.0,719,0.048190768399801194
606,280.0,447,0.04794981455780219
607,370.0,515,0.04771006548501318
608,760.0,663,0.047471515157588115
609,320.0,613,0.047234157581800176
610,340.0,435,0.046997986793891174
611,370.0,451,0.04676299685992172
612,570.0,543,0.04652918187562211
613,610.0,775,0.046296535966244
614,290.0,695,0.046065053286412784
615,2160.0,879,0.04583472801998072
616,490.0,629,0.045605554379880814
617,720.0,735,0.04537752660798141
618,450.0,703,0.0451506389749415
619,860.0,749,0.044924885780066794
620,780.0,667,0.04470026135116646
621,260.0,401,0.04447676004441063
622,480.0,473,0.04425437624418858
623,620.0,677,0.04403310436296763
624,660.0,673,0.043812938841152796
625,190.0,469,0.04359387414694703
626,510.0,487,0.043375904776212296
627,220.0,393,0.043159025252331236
628,790.0,825,0.04294323012606958
629,370.0,467,0.04272851397543923
630,370.0,633,0.04251487140556204
631,340.0,461,0.04230229704853423
632,400.0,469,0.04209078556329156
633,1210.0,1079,0.0418803316354751
634,250.0,447,0.041670929977297724
635,1130.0,747,0.04146257532741124
636,200.0,345,0.04125526245077418
637,160.0,381,0.04104898613852031
638,760.0,743,0.04084374120782771
639,630.0,521,0.04063952250178857
640,250.0,553,0.04043632488927963
641,850.0,753,0.04023414326483323
642,420.0,497,0.040032972548509065
643,940.0,771,0.03983280768576652
644,470.0,543,0.03963364364733769
645,460.0,551,0.039435475429100995
646,960.0,559,0.03923829805195549
647,460.0,675,0.03904210656169572
648,550.0,619,0.03884689602888724
649,250.0,647,0.0386526615487428
650,300.0,801,0.03845939824099909
651,1120.0,617,0.03826710124979409
652,410.0,467,0.038075765743545126
653,220.0,493,0.0378853869148274
654,160.0,317,0.03769595998025326
655,470.0,701,0.03750748018035199
656,210.0,545,0.037319942779450235
657,390.0,537,0.037133343065552986
658,640.0,639,0.03694767635022522
659,180.0,565,0.036762937968474095
660,360.0,479,0.03657912327863173
661,560.0,689,0.036396227662238566
662,370.0,497,0.03621424652392737
663,680.0,621,0.036033175291307735
664,530.0,645,0.03585300941485119
665,340.0,479,0.035673744367776934
666,510.0,579,0.03549537564593805
667,200.0,399,0.035317898767708356
668,260.0,491,0.03514130927386981
669,260.0,471,0.03496560272750046
670,170.0,417,0.03479077471386296
671,620.0,569,0.03461682084029365
672,320.0,357,0.034443736736092176
673,270.0,497,0.034271518052411715
674,410.0,461,0.034100160462149656
675,380.0,737,0.03392965965983891
676,860.0,769,0.033760011361539714
677,900.0,963,0.03359121130473201
678,280.0,513,0.033423255248208356
679,370.0,601,0.03325613897196732
