update,episodes_completed,avg_reward,avg_score,policy_loss,value_loss,entropy,clip_frac,kl,action_diversity,unique_states,explained_variance,advantage_std,positive_adv_frac
1150,3570,100.86875,1008.6875,-0.003611885113059543,4.615310737863183,2.06394499540329,0.1107177734375,0.004325225701904856,2.1858798428555994,1205,0.8758336877822877,3.0151364481449128,0.417998046875
1160,3598,100.01875,1000.1875,-0.006559780420502648,2.4545914214104414,2.0725007504224777,0.121337890625,0.004104331150301732,2.1809462774221333,1186,0.8757816570997238,3.0075247836112977,0.4137890625
1170,3628,99.4625,994.625,-0.007051506079733372,5.897412830963731,2.0467535201460123,0.1719970703125,0.006548367295181379,2.187193427050781,1245,0.8947444158792496,2.731937242746353,0.4093408203125
1180,3655,101.80625,1018.0625,-0.0037477116275113076,4.987135219853371,2.026598259806633,0.144775390625,0.0041619934781920165,2.170012119773304,1210,0.8895917522907257,2.7530997657775877,0.413486328125
1190,3687,99.76875,997.6875,-0.00494103113305755,6.250993512570858,2.0362286251038313,0.0938720703125,0.0051105947204632685,2.1885726682530025,1272,0.8879761892557144,2.771524498462677,0.4136962890625
1200,3716,100.04375,1000.4375,-0.0024511235242243856,11.993369000032544,2.114307839423418,0.122802734375,0.004163147386861965,2.176045873098473,1098,0.887864665389061,2.7592595231533052,0.42197265625
1210,3741,100.49375,1004.9375,-0.004794743304955773,0.871678392868489,2.0427304673939943,0.1390380859375,0.0025755555980140343,2.1630004158535687,1275,0.8860647642612457,2.7417157959938048,0.428671875
1220,3771,99.55625,995.5625,-0.0034705382568063214,2.0037217447534204,2.098337195813656,0.15283203125,0.0041062656964641064,2.184616989700483,1324,0.8774521422386169,2.83856396317482,0.4311962890625
1230,3799,103.075,1030.75,-0.007622365345014259,0.6108087794855237,2.088568802922964,0.1964111328125,0.004872709774645045,2.18414319674004,1165,0.8738434857130051,2.886243096590042,0.433115234375
1240,3828,99.95,999.5,-0.002531101752538234,1.2607708531431854,2.089461103081703,0.11865234375,0.003240857375203632,2.1841043095224206,1272,0.8812000274658203,2.783298898935318,0.42734375
1250,3858,99.55625,995.5625,-0.0045713376748608425,1.7205315213650465,2.025132030248642,0.115966796875,0.0027998970035696402,2.1715666017977195,1270,0.8788055086135864,2.7825536918640137,0.430556640625
1260,3890,98.65625,986.5625,-0.004096029995707795,5.074751007370651,2.0523746237158775,0.109130859375,0.0034369913482805714,2.1841579882624074,1205,0.8784341466426849,2.792906677722931,0.4390966796875
1270,3920,97.9375,979.375,-0.0031066775845829397,1.2317945300601423,2.0082494132220745,0.0947265625,0.0038704513863194734,2.191158038257945,1321,0.8763446259498596,2.812766823768616,0.4459765625
1280,3950,97.35,973.5,-0.004744989069877192,1.9921402111649513,1.982049724087119,0.172607421875,0.00483729038387537,2.181945721973794,1305,0.88434983253479,2.7347177600860597,0.4454833984375
1290,3972,97.14375,971.4375,-0.002971111942315474,2.205692479852587,2.083095159381628,0.16943359375,0.0034213401813758537,2.187798392282417,1403,0.8825036007165908,2.751740700006485,0.448916015625
1300,4005,100.73125,1007.3125,-0.004709224449470639,6.77715471945703,2.037071168422699,0.1029052734375,0.005119233901496045,2.1883547201150484,1231,0.8850154113769532,2.7488200032711028,0.4435400390625
1310,4034,100.5875,1005.875,-0.0019550850411178544,3.980482453946024,2.0232362672686577,0.1102294921875,0.003880585922161117,2.175082938202311,1522,0.8864453172683716,2.7601114320755005,0.4393115234375
1320,4063,101.90625,1019.0625,-0.004832546255784109,1.583952210843563,2.0437473319470882,0.1396484375,0.0034892707772087306,2.180079422749204,1229,0.894915526509285,2.685363008975983,0.4431591796875
1330,4092,103.2,1032.0,-0.0049945338105317205,1.883449498564005,2.062615070492029,0.1134033203125,0.003955417778342962,2.186997466964965,1278,0.8973373258113861,2.6812285220623018,0.43935546875
1340,4121,102.54375,1025.4375,-0.0058153283898718655,1.5798470191657543,2.0644503831863403,0.188232421875,0.007965350363519974,2.1922113930319194,1096,0.8939146840572357,2.7790864264965056,0.4399462890625
1350,4148,103.3625,1033.625,-0.006400633690645918,0.562440542737022,2.048255927860737,0.15771484375,0.0028664182173088193,2.187527743544713,1285,0.8958609426021575,2.773255934715271,0.4358544921875
1360,4179,100.49375,1004.9375,-0.005510207556653768,0.8390289647504687,2.0470014065504074,0.1361083984375,0.0043675744091160595,2.1794321755390946,1264,0.9003942346572876,2.697710394859314,0.4252587890625
1370,4206,99.14375,991.4375,-0.004894229976343922,3.266340160276741,2.066368453204632,0.1123046875,0.0034346221073064953,2.1583649850815614,1130,0.9015635395050049,2.675210771560669,0.422841796875
1380,4236,98.025,980.25,-0.005452462908579037,1.8859201353043318,2.07462253049016,0.170654296875,0.0037770553317386657,2.171631555232291,1231,0.9045013916492463,2.638219995498657,0.4213916015625
1390,4263,95.9375,959.375,-0.0029865954275010154,0.8675993056967854,2.041037157177925,0.1317138671875,0.004755323825520463,2.174157683192807,1206,0.9090061920881272,2.5784396719932556,0.42048828125
1400,4291,95.275,952.75,-0.005742620334785897,0.8094059280119836,2.075364638119936,0.1546630859375,0.004688602552050725,2.188016315225113,1287,0.909462331533432,2.5355870604515074,0.42197265625
1410,4322,95.525,955.25,-0.0031320442212745547,5.648161007091403,2.072343025356531,0.1517333984375,0.005635774039546959,2.1880756283863625,1210,0.8944026678800583,2.699662275314331,0.4243994140625
1420,4349,98.975,989.75,-0.005139513174071908,1.2237582262605429,2.0502300448715687,0.1326904296875,0.002799140798742883,2.1907693842617366,1241,0.8913747119903564,2.6860942530632017,0.4233251953125
